TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2019,3,7,2,6,10XX SITKA SQ,Fairview,490612.9648,5457109.822
Break and Enter Commercial,2019,8,27,4,12,10XX ALBERNI ST,West End,491007.7798,5459174.338
Break and Enter Commercial,2019,6,9,10,58,10XX BEACH AVE,West End,490232.6157,5458203.356
Break and Enter Commercial,2019,1,6,1,36,10XX BEACH AVE,West End,490234.4136,5458201.015
Break and Enter Commercial,2019,7,21,11,21,10XX BEACH AVE,Central Business District,490249.2307,5458166.833
Break and Enter Commercial,2019,6,10,4,30,10XX BEACH AVE,Central Business District,490249.3649,5458166.658
Break and Enter Commercial,2019,4,7,15,8,10XX BEACH AVE,Central Business District,490255.5322,5458158.613
Break and Enter Commercial,2019,4,10,13,50,10XX BEACH AVE,Central Business District,490268.432,5458142.577
Break and Enter Commercial,2019,10,19,7,50,10XX BEACH AVE,Central Business District,490269.91,5458141.126
Break and Enter Commercial,2019,8,3,8,0,10XX BROUGHTON ST,West End,490247.1512,5459171.041
Break and Enter Commercial,2019,4,24,7,25,10XX BROUGHTON ST,West End,490270.0596,5459194.273
Break and Enter Commercial,2019,4,12,18,22,10XX BURNABY ST,West End,490439.9122,5458487.374
Break and Enter Commercial,2019,11,7,3,20,10XX BURNABY ST,West End,490495.4166,5458443.882
Break and Enter Commercial,2019,1,16,0,0,10XX BURRARD ST,Central Business District,490729.9102,5458609.396
Break and Enter Commercial,2019,5,17,6,50,10XX BURRARD ST,Central Business District,490730.3744,5458609.867
Break and Enter Commercial,2019,3,16,10,34,10XX BURRARD ST,West End,490807.6965,5458703.098
Break and Enter Commercial,2019,8,3,18,0,10XX CAMBIE ST,Central Business District,491345.1796,5458059.971
Break and Enter Commercial,2019,7,8,6,51,10XX CAMBIE ST,Central Business District,491377.5652,5458122.594
Break and Enter Commercial,2019,3,19,3,38,10XX CANADA PL,Central Business District,491492.0426,5459540.39
Break and Enter Commercial,2019,6,21,4,35,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2019,6,23,5,4,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2019,6,23,5,13,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2019,9,26,6,10,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2019,10,18,2,42,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2019,11,1,0,38,10XX CANADA PL,Central Business District,491493.3778,5459541.947
Break and Enter Commercial,2019,8,5,13,3,10XX CANADA PL,Central Business District,491519.5439,5459520.897
Break and Enter Commercial,2019,11,4,7,23,10XX COMMERCIAL DR,Grandview-Woodland,494937.4605,5458083.368
Break and Enter Commercial,2019,9,15,14,13,10XX COMOX ST,West End,490653.759,5458753.914
Break and Enter Commercial,2019,4,17,15,30,10XX DAVIE ST,West End,490559.7293,5458525.708
Break and Enter Commercial,2019,1,2,2,45,10XX DENMAN ST,West End,489847.4355,5459555.986
Break and Enter Commercial,2019,8,30,10,38,10XX E BROADWAY AVE,Mount Pleasant,493987.8282,5456638.006
Break and Enter Commercial,2019,2,24,6,0,10XX E BROADWAY AVE,Mount Pleasant,494074.1104,5456636.807
Break and Enter Commercial,2019,6,5,6,12,10XX E CORDOVA ST,Strathcona,494075.0427,5458803.712
Break and Enter Commercial,2019,1,22,22,0,10XX E KENT AVE N,Sunset,493846.5284,5450670.016
Break and Enter Commercial,2019,10,9,6,29,10XX GRANVILLE ST,Central Business District,491025.2148,5458487.177
Break and Enter Commercial,2019,11,12,16,30,10XX HAMILTON ST,Central Business District,491200.3411,5458150.116
Break and Enter Commercial,2019,6,24,7,15,10XX HAMILTON ST,Central Business District,491285.292,5458223.539
Break and Enter Commercial,2019,1,28,22,0,10XX HOMER ST,Central Business District,491165.4488,5458200.083
Break and Enter Commercial,2019,1,27,6,29,10XX HOMER ST,Central Business District,491167.0929,5458201.759
Break and Enter Commercial,2019,8,1,22,0,10XX HOMER ST,Central Business District,491167.0929,5458201.759
Break and Enter Commercial,2019,9,23,12,4,10XX HOMER ST,Central Business District,491196.8749,5458219.052
Break and Enter Commercial,2019,6,11,3,30,10XX HOMER ST,Central Business District,491253.957,5458277.218
Break and Enter Commercial,2019,6,11,5,0,10XX HOMER ST,Central Business District,491253.957,5458277.218
Break and Enter Commercial,2019,10,2,9,23,10XX HOWE ST,Central Business District,490867.558,5458473.409
Break and Enter Commercial,2019,4,14,11,19,10XX HOWE ST,Central Business District,490889.5958,5458482.858
Break and Enter Commercial,2019,9,20,4,27,10XX HOWE ST,Central Business District,490943.8893,5458551.423
Break and Enter Commercial,2019,7,27,12,44,10XX JERVIS ST,West End,490409.621,5459131.108
Break and Enter Commercial,2019,6,18,0,0,10XX KEEFER ST,Strathcona,494058.4457,5458493.212
Break and Enter Commercial,2019,3,5,21,30,10XX KINGSWAY AVE,Kensington-Cedar Cottage,493928.8972,5455669.324
Break and Enter Commercial,2019,9,15,19,0,10XX KINGSWAY AVE,Kensington-Cedar Cottage,493974.3723,5455625.649
Break and Enter Commercial,2019,10,8,17,0,10XX KINGSWAY AVE,Kensington-Cedar Cottage,494013.2889,5455597.635
Break and Enter Commercial,2019,7,26,14,30,10XX LAGOON DR,Stanley Park,489317.118,5460043.104
Break and Enter Commercial,2019,6,16,9,3,10XX LAURIER AVE,Shaughnessy,490704.3405,5455350.026
Break and Enter Commercial,2019,7,15,4,25,10XX MAIN ST,Central Business District,492723.7706,5458103.879
Break and Enter Commercial,2019,1,6,7,7,10XX MAINLAND ST,Central Business District,491255.1482,5458126.906
Break and Enter Commercial,2019,4,30,3,55,10XX MAINLAND ST,Central Business District,491260.9943,5458119.796
Break and Enter Commercial,2019,6,7,15,30,10XX MAINLAND ST,Central Business District,491260.9943,5458119.796
Break and Enter Commercial,2019,9,11,5,49,10XX MAINLAND ST,Central Business District,491273.0747,5458145.499
Break and Enter Commercial,2019,11,5,15,22,10XX MAINLAND ST,Central Business District,491324.5391,5458185.7
Break and Enter Commercial,2019,5,21,17,28,10XX MARINASIDE CRES,Central Business District,491543.9092,5457836.086
Break and Enter Commercial,2019,9,23,20,0,10XX MARINASIDE CRES,Central Business District,491613.9262,5457845.885
Break and Enter Commercial,2019,10,21,2,50,10XX MARINASIDE CRES,Central Business District,491613.9262,5457845.885
Break and Enter Commercial,2019,8,20,19,14,10XX NELSON ST,West End,490730.0087,5458831.776
Break and Enter Commercial,2019,9,7,19,33,10XX NELSON ST,West End,490766.472,5458782.876
Break and Enter Commercial,2019,9,11,2,15,10XX NELSON ST,West End,490766.472,5458782.876
Break and Enter Commercial,2019,9,1,0,59,10XX PACIFIC ST,West End,490298.1327,5458316.568
Break and Enter Commercial,2019,4,9,6,13,10XX PACIFIC ST,West End,490352.2816,5458275.756
Break and Enter Commercial,2019,1,18,16,30,10XX PARK DR,Marpole,490477.8438,5451322.741
Break and Enter Commercial,2019,5,16,20,31,10XX QUEBEC ST,Central Business District,492582.5694,5458115.223
Break and Enter Commercial,2019,4,25,2,13,10XX RICHARDS ST,Central Business District,491095.6451,5458261.366
Break and Enter Commercial,2019,3,23,15,10,10XX RICHARDS ST,Central Business District,491126.7883,5458305.487
Break and Enter Commercial,2019,4,25,4,9,10XX ROBSON ST,West End,490947.4177,5459081.357
Break and Enter Commercial,2019,6,6,2,44,10XX ROBSON ST,West End,490947.4177,5459081.357
Break and Enter Commercial,2019,6,17,4,30,10XX ROBSON ST,West End,490947.4177,5459081.357
Break and Enter Commercial,2019,5,4,4,42,10XX ROBSON ST,West End,490965.5286,5459050.605
Break and Enter Commercial,2019,5,10,5,43,10XX ROBSON ST,West End,490998.2462,5459018.273
Break and Enter Commercial,2019,5,31,8,0,10XX ROBSON ST,West End,491014.605,5459002.108
Break and Enter Commercial,2019,9,30,3,3,10XX ROBSON ST,West End,491021.0323,5459008.612
Break and Enter Commercial,2019,10,25,5,38,10XX ROBSON ST,West End,491021.0323,5459008.612
Break and Enter Commercial,2019,10,28,4,44,10XX ROBSON ST,West End,491021.0323,5459008.612
Break and Enter Commercial,2019,4,21,16,54,10XX SCANTLINGS AVE,Fairview,490703.9333,5457207.432
Break and Enter Commercial,2019,1,27,8,20,10XX SE MARINE DR,Sunset,493873.1291,5450918.867
Break and Enter Commercial,2019,2,23,16,0,10XX SE MARINE DR,Sunset,493873.1291,5450918.867
Break and Enter Commercial,2019,3,23,2,49,10XX SE MARINE DR,Sunset,493873.1291,5450918.867
Break and Enter Commercial,2019,1,1,0,0,10XX SE MARINE DR,Sunset,493875.6666,5450918.93
Break and Enter Commercial,2019,1,28,9,5,10XX SE MARINE DR,Sunset,493875.6666,5450918.93
Break and Enter Commercial,2019,2,15,0,0,10XX SE MARINE DR,Sunset,493875.6666,5450918.93
Break and Enter Commercial,2019,2,24,22,0,10XX SE MARINE DR,Sunset,493875.6666,5450918.93
Break and Enter Commercial,2019,9,22,7,3,10XX SEYMOUR ST,Central Business District,491024.4274,5458325.042
Break and Enter Commercial,2019,3,9,0,0,10XX SEYMOUR ST,Central Business District,491033.5778,5458334.346
Break and Enter Commercial,2019,7,9,9,36,10XX SMITHE ST,West End,490890.0196,5458931.84
Break and Enter Commercial,2019,7,17,11,47,10XX SMITHE ST,West End,490890.0196,5458931.84
Break and Enter Commercial,2019,7,15,0,1,10XX STATION ST,Strathcona,492788.8096,5458080.018
Break and Enter Commercial,2019,9,12,6,32,10XX VERNON DR,Strathcona,494274.836,5458072.496
Break and Enter Commercial,2019,10,26,0,0,10XX W 13TH AVE,Fairview,490696.2842,5456324.14
Break and Enter Commercial,2019,3,27,8,21,10XX W 14TH AVE,Fairview,490624.2027,5456224.152
Break and Enter Commercial,2019,7,13,1,48,10XX W 14TH AVE,Fairview,490720.8525,5456221.564
Break and Enter Commercial,2019,4,18,8,19,10XX W 15TH AVE,Fairview,490714.1852,5456129.811
Break and Enter Commercial,2019,4,14,5,13,10XX W 8TH AVE,Fairview,490724.578,5456854.31
Break and Enter Commercial,2019,9,10,20,0,10XX W BROADWAY AVE,Fairview,490638.9624,5456754.197
Break and Enter Commercial,2019,10,10,0,0,10XX W BROADWAY AVE,Fairview,490693.1169,5456752.81
Break and Enter Commercial,2019,1,16,3,56,10XX W BROADWAY AVE,Fairview,490782.5954,5456750.52
Break and Enter Commercial,2019,5,7,22,15,10XX W GEORGIA ST,Central Business District,491115.752,5459163.178
Break and Enter Commercial,2019,6,23,11,24,10XX W GEORGIA ST,Central Business District,491115.752,5459163.178
Break and Enter Commercial,2019,5,26,4,20,10XX W HASTINGS ST,Central Business District,491451.6338,5459410.33
Break and Enter Commercial,2019,10,11,8,10,10XX W HASTINGS ST,Central Business District,491451.6338,5459410.33
Break and Enter Commercial,2019,10,10,5,0,10XX W PENDER ST,Central Business District,491263.9592,5459407.591
Break and Enter Commercial,2019,10,13,21,7,10XX W PENDER ST,Central Business District,491263.9592,5459407.591
Break and Enter Commercial,2019,8,13,4,11,10XX W PENDER ST,Central Business District,491332.2968,5459374.751
Break and Enter Commercial,2019,9,23,12,7,10XX W PENDER ST,Central Business District,491351.6216,5459364.487
Break and Enter Commercial,2019,11,2,4,55,10XX W PENDER ST,Central Business District,491369.7613,5459365.205
Break and Enter Commercial,2019,11,13,2,18,11XX ALBERNI ST,West End,490884.5857,5459293.929
Break and Enter Commercial,2019,1,4,4,18,11XX ALBERNI ST,West End,490890.7536,5459287.955
Break and Enter Commercial,2019,8,13,3,49,11XX ALBERNI ST,West End,490890.7536,5459287.955
Break and Enter Commercial,2019,1,20,3,36,11XX ALBERNI ST,West End,490894.9534,5459283.887
Break and Enter Commercial,2019,3,25,18,53,11XX ALBERNI ST,West End,490983.9912,5459210.373
Break and Enter Commercial,2019,6,23,0,30,11XX BARCLAY ST,West End,490719.7587,5458990.734
Break and Enter Commercial,2019,9,4,10,52,11XX BARCLAY ST,West End,490719.7587,5458990.734
Break and Enter Commercial,2019,8,30,2,30,11XX BEACH AVE,West End,490111.1796,5458391.338
Break and Enter Commercial,2019,6,24,0,35,11XX BEACH AVE,West End,490136.1724,5458353.316
Break and Enter Commercial,2019,8,28,5,0,11XX BIDWELL ST,West End,489821.5559,5459300.2
Break and Enter Commercial,2019,8,20,14,20,11XX BURNABY ST,West End,490258.2424,5458667.68
Break and Enter Commercial,2019,3,13,3,20,11XX BURNABY ST,West End,490352.1478,5458575.737
Break and Enter Commercial,2019,10,19,0,0,11XX BUTE ST,West End,490351.1624,5458833.712
Break and Enter Commercial,2019,8,30,16,22,11XX E GEORGIA ST,Strathcona,494128.3922,5458384.859
Break and Enter Commercial,2019,6,23,17,0,11XX E HASTINGS ST,Strathcona,494231.0362,5458710.847
Break and Enter Commercial,2019,4,7,21,29,11XX FRANKLIN ST,Strathcona,494180.215,5458846.26
Break and Enter Commercial,2019,8,15,5,51,11XX FRANKLIN ST,Strathcona,494180.215,5458846.26
Break and Enter Commercial,2019,4,4,19,56,11XX FRANKLIN ST,Strathcona,494181.4187,5458846.237
Break and Enter Commercial,2019,7,7,5,30,11XX GARDEN DR,Grandview-Woodland,495791.0039,5457951.391
Break and Enter Commercial,2019,5,10,0,0,11XX GILFORD ST,West End,489669.3754,5459617.693
Break and Enter Commercial,2019,5,9,18,0,11XX GILFORD ST,West End,489675.857,5459611.243
Break and Enter Commercial,2019,1,16,22,0,11XX GRANT ST,Strathcona,494237.7827,5457645.994
Break and Enter Commercial,2019,7,13,9,48,11XX GRANVILLE ST,Central Business District,490841.3229,5458287.779
Break and Enter Commercial,2019,1,23,19,0,11XX GRANVILLE ST,Central Business District,490903.394,5458350.179
Break and Enter Commercial,2019,7,17,9,37,11XX HAMILTON ST,Central Business District,491165.4836,5458114.94
Break and Enter Commercial,2019,10,28,0,0,11XX HAMILTON ST,Central Business District,491169.8317,5458106.345
Break and Enter Commercial,2019,10,28,4,0,11XX HAMILTON ST,Central Business District,491169.8317,5458106.345
Break and Enter Commercial,2019,2,22,20,0,11XX HARO ST,West End,490760.8256,5459101.185
Break and Enter Commercial,2019,4,1,22,30,11XX HARO ST,West End,490800.6769,5459060.294
Break and Enter Commercial,2019,5,7,2,6,11XX HARO ST,West End,490800.6769,5459060.294
Break and Enter Commercial,2019,8,4,17,19,11XX HARWOOD ST,West End,490190.4567,5458582.703
Break and Enter Commercial,2019,8,19,17,0,11XX HARWOOD ST,West End,490225.1858,5458548.41
Break and Enter Commercial,2019,6,30,3,2,11XX HARWOOD ST,West End,490240.8715,5458545.772
Break and Enter Commercial,2019,8,19,8,54,11XX HARWOOD ST,West End,490259.9148,5458514.118
Break and Enter Commercial,2019,9,17,1,5,11XX HARWOOD ST,West End,490259.9148,5458514.118
Break and Enter Commercial,2019,3,24,3,15,11XX HARWOOD ST,West End,490294.9011,5458479.572
Break and Enter Commercial,2019,1,14,15,29,11XX HOMER ST,Central Business District,491061.5725,5458083.402
Break and Enter Commercial,2019,3,9,23,16,11XX HORNBY ST,Central Business District,490751.6156,5458494.061
Break and Enter Commercial,2019,7,13,4,20,11XX HORNBY ST,Central Business District,490751.6156,5458494.061
Break and Enter Commercial,2019,8,6,9,47,11XX HORNBY ST,Central Business District,490751.6156,5458494.061
Break and Enter Commercial,2019,9,13,10,24,11XX HORNBY ST,Central Business District,490751.6156,5458494.061
Break and Enter Commercial,2019,11,9,12,58,11XX HORNBY ST,Central Business District,490751.6156,5458494.061
Break and Enter Commercial,2019,7,1,2,0,11XX HOWE ST,Central Business District,490761.5547,5458365.959
Break and Enter Commercial,2019,10,28,6,6,11XX HOWE ST,Central Business District,490776.4628,5458368.045
Break and Enter Commercial,2019,5,30,5,0,11XX JERVIS ST,West End,490236.5276,5458948.405
Break and Enter Commercial,2019,5,17,8,44,11XX LAMEYS MILL RD,Fairview,490579.0753,5457083.81
Break and Enter Commercial,2019,7,4,5,18,11XX MAIN ST,Central Business District,492719.3168,5457950.087
Break and Enter Commercial,2019,9,6,4,12,11XX MAIN ST,Central Business District,492719.3168,5457950.087
Break and Enter Commercial,2019,4,3,7,15,11XX MAIN ST,Central Business District,492719.5039,5457955.469
Break and Enter Commercial,2019,1,17,19,49,11XX MAIN ST,Central Business District,492720.2567,5457977.107
Break and Enter Commercial,2019,4,3,9,57,11XX MAIN ST,Central Business District,492720.8486,5457994.155
Break and Enter Commercial,2019,10,11,16,0,11XX MAINLAND ST,Central Business District,491142.8658,5458001.63
Break and Enter Commercial,2019,1,12,0,0,11XX MELVILLE ST,Central Business District,490982.6079,5459443.737
Break and Enter Commercial,2019,7,14,2,30,11XX MELVILLE ST,Central Business District,490982.6079,5459443.737
Break and Enter Commercial,2019,3,14,0,0,11XX MELVILLE ST,Central Business District,491019.485,5459408.058
Break and Enter Commercial,2019,3,22,0,0,11XX MELVILLE ST,Central Business District,491019.485,5459408.058
Break and Enter Commercial,2019,9,28,0,0,11XX MELVILLE ST,Central Business District,491020.5968,5459406.983
Break and Enter Commercial,2019,10,1,0,0,11XX MELVILLE ST,Central Business District,491020.5968,5459406.983
Break and Enter Commercial,2019,10,6,19,15,11XX MELVILLE ST,Central Business District,491020.5968,5459406.983
Break and Enter Commercial,2019,10,13,14,0,11XX MELVILLE ST,Central Business District,491020.5968,5459406.983
Break and Enter Commercial,2019,10,29,18,32,11XX MELVILLE ST,Central Business District,491020.5968,5459406.983
Break and Enter Commercial,2019,9,2,23,15,11XX MELVILLE ST,Central Business District,491109.3397,5459333.846
Break and Enter Commercial,2019,6,11,2,14,11XX MELVILLE ST,Central Business District,491117.6931,5459313.04
Break and Enter Commercial,2019,10,21,2,24,11XX MELVILLE ST,Central Business District,491117.6931,5459313.04
Break and Enter Commercial,2019,1,15,1,30,11XX NELSON ST,West End,490617.0178,5458944.15
Break and Enter Commercial,2019,5,10,22,31,11XX PENDRELL ST,West End,490514.5853,5458726.378
Break and Enter Commercial,2019,1,20,4,31,11XX RICHARDS ST,Central Business District,491058.183,5458236.736
Break and Enter Commercial,2019,6,12,3,10,11XX RICHARDS ST,Central Business District,491058.183,5458236.736
Break and Enter Commercial,2019,10,21,1,45,11XX RICHARDS ST,Central Business District,491058.183,5458236.736
Break and Enter Commercial,2019,3,9,18,0,11XX RICHARDS ST,Central Business District,491060.0307,5458238.592
Break and Enter Commercial,2019,10,7,15,29,11XX ROBSON ST,West End,490890.674,5459137.781
Break and Enter Commercial,2019,5,13,3,30,11XX ROBSON ST,West End,490907.5548,5459120.92
Break and Enter Commercial,2019,6,3,0,0,11XX ROBSON ST,West End,490907.5548,5459120.92
Break and Enter Commercial,2019,7,21,12,41,11XX ROBSON ST,West End,490907.5548,5459120.92
Break and Enter Commercial,2019,8,11,0,0,11XX SE MARINE DR,Sunset,493932.9192,5450918.861
Break and Enter Commercial,2019,8,6,17,12,11XX SEYMOUR ST,Central Business District,490991.2159,5458304.617
Break and Enter Commercial,2019,8,8,9,26,11XX SEYMOUR ST,Central Business District,490991.2159,5458304.617
Break and Enter Commercial,2019,7,11,12,26,11XX SEYMOUR ST,Central Business District,490997.8219,5458311.196
Break and Enter Commercial,2019,7,21,2,45,11XX SEYMOUR ST,Central Business District,490997.8219,5458311.196
Break and Enter Commercial,2019,8,6,20,33,11XX SEYMOUR ST,Central Business District,490997.8219,5458311.196
Break and Enter Commercial,2019,1,19,3,47,11XX THE CASTINGS ST,Fairview,490473.3629,5457124.925
Break and Enter Commercial,2019,7,24,4,6,11XX THE CASTINGS ST,Fairview,490473.3629,5457124.925
Break and Enter Commercial,2019,10,18,4,22,11XX W 8TH AVE,Fairview,490530.3092,5456859.056
Break and Enter Commercial,2019,10,12,9,24,11XX W 8TH AVE,Fairview,490602.4916,5456857.14
Break and Enter Commercial,2019,4,5,20,0,11XX W BROADWAY AVE,Fairview,490454.11,5456759.286
Break and Enter Commercial,2019,6,20,10,34,11XX W BROADWAY AVE,Fairview,490582.5574,5456746.564
Break and Enter Commercial,2019,7,31,18,0,11XX W BROADWAY AVE,Fairview,490582.5574,5456746.564
Break and Enter Commercial,2019,5,17,0,0,11XX W BROADWAY AVE,Fairview,490592.4576,5456746.288
Break and Enter Commercial,2019,8,18,3,57,11XX W GEORGIA ST,Central Business District,490997.9348,5459279.62
Break and Enter Commercial,2019,9,16,3,2,11XX W GEORGIA ST,Central Business District,490997.9348,5459279.62
Break and Enter Commercial,2019,5,28,22,0,11XX W PENDER ST,Central Business District,491151.3089,5459458.779
Break and Enter Commercial,2019,1,3,4,30,12XX BARCLAY ST,West End,490542.8022,5459179.703
Break and Enter Commercial,2019,4,23,1,30,12XX BARCLAY ST,West End,490543.4854,5459179.039
Break and Enter Commercial,2019,1,8,12,59,12XX BARCLAY ST,West End,490568.5327,5459141.933
Break and Enter Commercial,2019,1,18,0,0,12XX BARCLAY ST,West End,490568.5327,5459141.933
Break and Enter Commercial,2019,6,7,4,0,12XX BARCLAY ST,West End,490568.5327,5459141.933
Break and Enter Commercial,2019,5,1,23,0,12XX BARCLAY ST,West End,490585.6084,5459138.085
Break and Enter Commercial,2019,3,28,0,39,12XX BIDWELL ST,West End,489771.3802,5459261.767
Break and Enter Commercial,2019,1,5,12,0,12XX BURNABY ST,West End,490116.892,5458811.018
Break and Enter Commercial,2019,8,23,10,42,12XX BURNABY ST,West End,490193.3363,5458732.422
Break and Enter Commercial,2019,4,19,13,54,12XX BURNABY ST,West End,490199.1544,5458739.555
Break and Enter Commercial,2019,9,12,19,0,12XX BURRARD ST,West End,490564.1362,5458455.158
Break and Enter Commercial,2019,7,4,19,0,12XX CARTWRIGHT ST,Fairview,490372.7,5457436.264
Break and Enter Commercial,2019,8,22,14,31,12XX CLARK DR,Strathcona,494371.7689,5457854.166
Break and Enter Commercial,2019,4,10,4,30,12XX DAVIE ST,West End,490198.8451,5458899.622
Break and Enter Commercial,2019,10,8,8,12,12XX DAVIE ST,West End,490242.6338,5458856.48
Break and Enter Commercial,2019,2,8,17,0,12XX E 7TH AVE,Mount Pleasant,494234.6812,5456839.45
Break and Enter Commercial,2019,5,1,8,0,12XX E 7TH AVE,Mount Pleasant,494285.2755,5456838.718
Break and Enter Commercial,2019,8,22,18,0,12XX E 8TH AVE,Mount Pleasant,494274.1557,5456738.11
Break and Enter Commercial,2019,10,9,8,22,12XX E PENDER ST,Strathcona,494274.9188,5458624.693
Break and Enter Commercial,2019,1,3,7,47,12XX FRANCES ST,Strathcona,494259.9875,5458533.541
Break and Enter Commercial,2019,7,16,4,42,12XX GRANVILLE ST,Central Business District,490713.5555,5458170.188
Break and Enter Commercial,2019,7,2,1,50,12XX HAMILTON ST,Central Business District,490995.2022,5457944.399
Break and Enter Commercial,2019,5,21,4,10,12XX HAMILTON ST,Central Business District,491003.8118,5457952.98
Break and Enter Commercial,2019,1,7,3,12,12XX HARO ST,West End,490649.1332,5459213.751
Break and Enter Commercial,2019,5,24,4,30,12XX HARWOOD ST,West End,490097.7062,5458687.35
Break and Enter Commercial,2019,6,23,3,56,12XX HARWOOD ST,West End,490097.7062,5458687.35
Break and Enter Commercial,2019,7,18,8,44,12XX HARWOOD ST,West End,490097.7062,5458687.35
Break and Enter Commercial,2019,7,29,8,20,12XX HARWOOD ST,West End,490097.7062,5458687.35
Break and Enter Commercial,2019,8,12,9,49,12XX HARWOOD ST,West End,490097.7062,5458687.35
Break and Enter Commercial,2019,8,18,4,20,12XX HARWOOD ST,West End,490124.3032,5458660.976
Break and Enter Commercial,2019,4,24,0,0,12XX HOMER ST,Central Business District,491004.4732,5458039.266
Break and Enter Commercial,2019,5,5,4,47,12XX HOMER ST,Central Business District,491030.8311,5458052.771
Break and Enter Commercial,2019,3,5,20,30,12XX HORNBY ST,Central Business District,490575.9013,5458314.836
Break and Enter Commercial,2019,1,20,3,42,12XX HORNBY ST,Central Business District,490591.2684,5458317.339
Break and Enter Commercial,2019,7,13,1,25,12XX HORNBY ST,Central Business District,490680.0351,5458406.786
Break and Enter Commercial,2019,3,17,21,34,12XX HOWE ST,Central Business District,490648.1561,5458239.242
Break and Enter Commercial,2019,1,25,0,42,12XX HOWE ST,Central Business District,490650.5904,5458254.623
Break and Enter Commercial,2019,2,12,4,58,12XX HOWE ST,Central Business District,490650.5904,5458254.623
Break and Enter Commercial,2019,4,5,1,46,12XX HOWE ST,Central Business District,490650.5904,5458254.623
Break and Enter Commercial,2019,8,10,21,55,12XX HOWE ST,Central Business District,490650.5904,5458254.623
Break and Enter Commercial,2019,3,8,8,27,12XX MARINASIDE CRES,Central Business District,491201.6589,5457735.323
Break and Enter Commercial,2019,1,19,1,30,12XX NELSON ST,West End,490460.8529,5459087.885
Break and Enter Commercial,2019,7,26,3,17,12XX NICOLA ST,West End,489903.7918,5458982.709
Break and Enter Commercial,2019,8,19,5,44,12XX NICOLA ST,West End,489903.7918,5458982.709
Break and Enter Commercial,2019,8,20,0,0,12XX NICOLA ST,West End,489903.7918,5458982.709
Break and Enter Commercial,2019,10,12,18,5,12XX PACIFIC BLVD,Central Business District,491046.9221,5457866.693
Break and Enter Commercial,2019,9,22,7,6,12XX PACIFIC BLVD,Central Business District,491051.7662,5457868.587
Break and Enter Commercial,2019,7,16,22,0,12XX PACIFIC ST,West End,489988.5138,5458640.102
Break and Enter Commercial,2019,9,5,7,30,12XX PACIFIC ST,West End,489988.5138,5458640.102
Break and Enter Commercial,2019,11,3,16,0,12XX PENDRELL ST,West End,490316.3341,5458934.264
Break and Enter Commercial,2019,8,19,13,37,12XX PENDRELL ST,West End,490342.1821,5458894.458
Break and Enter Commercial,2019,5,12,18,45,12XX RAYMUR AVE,Strathcona,493985.5078,5457850.907
Break and Enter Commercial,2019,5,14,2,0,12XX ROBSON ST,West End,490657.2294,5459358.046
Break and Enter Commercial,2019,2,16,4,55,12XX ROBSON ST,West End,490683.6155,5459331.685
Break and Enter Commercial,2019,4,25,3,30,12XX ROBSON ST,West End,490731.9898,5459283.357
Break and Enter Commercial,2019,9,16,18,0,12XX SALSBURY DR,Grandview-Woodland,495086.6632,5457889.707
Break and Enter Commercial,2019,6,21,6,58,12XX THURLOW ST,West End,490420.6771,5458601.744
Break and Enter Commercial,2019,6,4,4,6,12XX VENABLES ST,Strathcona,494287.5729,5458223.273
Break and Enter Commercial,2019,4,3,18,15,12XX W 11TH AVE,Fairview,490378.577,5456550.63
Break and Enter Commercial,2019,9,9,23,0,12XX W 13TH AVE,Fairview,490318.032,5456333.856
Break and Enter Commercial,2019,5,16,8,57,12XX W 14TH AVE,Fairview,490413.0799,5456238.877
Break and Enter Commercial,2019,7,8,9,0,12XX W 14TH AVE,Fairview,490413.0799,5456238.877
Break and Enter Commercial,2019,9,13,1,30,12XX W 15TH AVE,Fairview,490370.5515,5456138.268
Break and Enter Commercial,2019,4,26,16,0,12XX W 70TH AVE,Marpole,490215.7965,5450641.727
Break and Enter Commercial,2019,3,15,5,0,12XX W BROADWAY AVE,Fairview,490411.7725,5456760.37
Break and Enter Commercial,2019,3,30,12,47,12XX W BROADWAY AVE,Fairview,490411.7725,5456760.37
Break and Enter Commercial,2019,9,12,5,14,12XX W GEORGIA ST,Central Business District,490801.1422,5459474.31
Break and Enter Commercial,2019,3,23,12,0,12XX W GEORGIA ST,West End,490879.2601,5459383.759
Break and Enter Commercial,2019,2,11,1,56,12XX W GEORGIA ST,Central Business District,490883.4655,5459392.471
Break and Enter Commercial,2019,6,5,23,1,12XX W HASTINGS ST,Central Business District,490992.1531,5459600.393
Break and Enter Commercial,2019,9,2,4,1,12XX W HASTINGS ST,Central Business District,490992.1531,5459600.393
Break and Enter Commercial,2019,2,4,1,0,12XX W HASTINGS ST,Central Business District,491023.488,5459585.814
Break and Enter Commercial,2019,8,21,8,19,12XX W HASTINGS ST,Central Business District,491061.5289,5459578.2
